"County","Year:bucket","LALVOTERID:unique_count"
"BAKER","2016","10599"
"BAKER","2017","12025"
"BAKER","2018","12316"
"BAKER","2019","12690"
"BAKER","2020","13196"
"BAKER","2021","13537"
"BENTON","2016","55353"
"BENTON","2017","60210"
"BENTON","2018","59875"
"BENTON","2019","61015"
"BENTON","2020","62129"
"BENTON","2021","63350"
"CLACKAMAS","2016","250613"
"CLACKAMAS","2017","288387"
"CLACKAMAS","2018","296081"
"CLACKAMAS","2019","305575"
"CLACKAMAS","2020","318346"
"CLACKAMAS","2021","324328"
"CLATSOP","2016","23476"
"CLATSOP","2017","27621"
"CLATSOP","2018","29041"
"CLATSOP","2019","30262"
"CLATSOP","2020","31789"
"CLATSOP","2021","32625"
"COLUMBIA","2016","30953"
"COLUMBIA","2017","36555"
"COLUMBIA","2018","38213"
"COLUMBIA","2019","39503"
"COLUMBIA","2020","41590"
"COLUMBIA","2021","42443"
"COOS","2016","36089"
"COOS","2017","43033"
"COOS","2018","44738"
"COOS","2019","46371"
"COOS","2020","49338"
"COOS","2021","49508"
"CROOK","2016","13733"
"CROOK","2017","16393"
"CROOK","2018","17395"
"CROOK","2019","18366"
"CROOK","2020","19567"
"CROOK","2021","20289"
"CURRY","2016","14237"
"CURRY","2017","16744"
"CURRY","2018","17502"
"CURRY","2019","18310"
"CURRY","2020","19591"
"CURRY","2021","19979"
"DESCHUTES","2016","113040"
"DESCHUTES","2017","132506"
"DESCHUTES","2018","138516"
"DESCHUTES","2019","145328"
"DESCHUTES","2020","152383"
"DESCHUTES","2021","157971"
"DOUGLAS","2016","64650"
"DOUGLAS","2017","76298"
"DOUGLAS","2018","80025"
"DOUGLAS","2019","83611"
"DOUGLAS","2020","87699"
"DOUGLAS","2021","89590"
"GILLIAM","2016","1217"
"GILLIAM","2017","1364"
"GILLIAM","2018","1402"
"GILLIAM","2019","1439"
"GILLIAM","2020","1506"
"GILLIAM","2021","1532"
"GRANT","2016","5317"
"GRANT","2017","5795"
"GRANT","2018","5944"
"GRANT","2019","5892"
"GRANT","2020","6107"
"GRANT","2021","6185"
"HARNEY","2016","4655"
"HARNEY","2017","5227"
"HARNEY","2018","5407"
"HARNEY","2019","5598"
"HARNEY","2020","5862"
"HARNEY","2021","5965"
"HOOD RIVER","2016","12981"
"HOOD RIVER","2017","15041"
"HOOD RIVER","2018","15389"
"HOOD RIVER","2019","15848"
"HOOD RIVER","2020","16580"
"HOOD RIVER","2021","16945"
"JACKSON","2016","129628"
"JACKSON","2017","148990"
"JACKSON","2018","155946"
"JACKSON","2019","161929"
"JACKSON","2020","169646"
"JACKSON","2021","172144"
"JEFFERSON","2016","11411"
"JEFFERSON","2017","14019"
"JEFFERSON","2018","14946"
"JEFFERSON","2019","15595"
"JEFFERSON","2020","16409"
"JEFFERSON","2021","16820"
"JOSEPHINE","2016","56079"
"JOSEPHINE","2017","63938"
"JOSEPHINE","2018","67112"
"JOSEPHINE","2019","69699"
"JOSEPHINE","2020","72851"
"JOSEPHINE","2021","74154"
"KLAMATH","2016","36880"
"KLAMATH","2017","43877"
"KLAMATH","2018","46441"
"KLAMATH","2019","48608"
"KLAMATH","2020","51843"
"KLAMATH","2021","53424"
"LAKE","2016","4118"
"LAKE","2017","4965"
"LAKE","2018","5187"
"LAKE","2019","5434"
"LAKE","2020","5685"
"LAKE","2021","5794"
"LANE","2016","224018"
"LANE","2017","260137"
"LANE","2018","265606"
"LANE","2019","276788"
"LANE","2020","288121"
"LANE","2021","292327"
"LINCOLN","2016","29783"
"LINCOLN","2017","33963"
"LINCOLN","2018","35473"
"LINCOLN","2019","37671"
"LINCOLN","2020","39962"
"LINCOLN","2021","40814"
"LINN","2016","70344"
"LINN","2017","82607"
"LINN","2018","87011"
"LINN","2019","91074"
"LINN","2020","96133"
"LINN","2021","98115"
"MALHEUR","2016","12807"
"MALHEUR","2017","14959"
"MALHEUR","2018","15742"
"MALHEUR","2019","16235"
"MALHEUR","2020","17593"
"MALHEUR","2021","18017"
"MARION","2016","164551"
"MARION","2017","194130"
"MARION","2018","203279"
"MARION","2019","211975"
"MARION","2020","221723"
"MARION","2021","226048"
"MORROW","2016","5133"
"MORROW","2017","5948"
"MORROW","2018","6285"
"MORROW","2019","6585"
"MORROW","2020","6894"
"MORROW","2021","7075"
"MULTNOMAH","2016","505327"
"MULTNOMAH","2017","567002"
"MULTNOMAH","2018","575064"
"MULTNOMAH","2019","596262"
"MULTNOMAH","2020","617969"
"MULTNOMAH","2021","621242"
"POLK","2016","46321"
"POLK","2017","53393"
"POLK","2018","54434"
"POLK","2019","57283"
"POLK","2020","61061"
"POLK","2021","62628"
"SHERMAN","2016","1183"
"SHERMAN","2017","1326"
"SHERMAN","2018","1390"
"SHERMAN","2019","1484"
"SHERMAN","2020","1536"
"SHERMAN","2021","1514"
"TILLAMOOK","2016","15674"
"TILLAMOOK","2017","18468"
"TILLAMOOK","2018","19270"
"TILLAMOOK","2019","20067"
"TILLAMOOK","2020","21097"
"TILLAMOOK","2021","21639"
"UMATILLA","2016","36379"
"UMATILLA","2017","43580"
"UMATILLA","2018","45660"
"UMATILLA","2019","47634"
"UMATILLA","2020","49886"
"UMATILLA","2021","51068"
"UNION","2016","18005"
"UNION","2017","20092"
"UNION","2018","19676"
"UNION","2019","19761"
"UNION","2020","20798"
"UNION","2021","21182"
"WALLOWA","2016","4578"
"WALLOWA","2017","5107"
"WALLOWA","2018","5174"
"WALLOWA","2019","5709"
"WALLOWA","2020","5960"
"WALLOWA","2021","6122"
"WASCO","2016","13905"
"WASCO","2017","16725"
"WASCO","2018","17554"
"WASCO","2019","18205"
"WASCO","2020","18983"
"WASCO","2021","19431"
"WASHINGTON","2016","320223"
"WASHINGTON","2017","349753"
"WASHINGTON","2018","357897"
"WASHINGTON","2019","375918"
"WASHINGTON","2020","391178"
"WASHINGTON","2021","399252"
"WHEELER","2016","1057"
"WHEELER","2017","1146"
"WHEELER","2018","1159"
"WHEELER","2019","1202"
"WHEELER","2020","1262"
"WHEELER","2021","1266"
"YAMHILL","2016","58112"
"YAMHILL","2017","67471"
"YAMHILL","2018","69849"
"YAMHILL","2019","71093"
"YAMHILL","2020","74760"
"YAMHILL","2021","76468"
